Temp	Dilation
981.52	0.04515
980.44	0.04498
979.42	0.04485
978.32	0.0447
977.51	0.04458
976.27	0.04442
975.33	0.04426
974.31	0.04409
973.4	0.04398
972.47	0.04383
971.34	0.04366
970.46	0.04355
969.37	0.0434
968.48	0.04327
967.51	0.04314
966.45	0.04297
965.49	0.04283
964.34	0.04267
963.38	0.04255
962.58	0.04242
961.38	0.04226
960.44	0.0421
959.35	0.04197
958.36	0.04183
957.49	0.04171
956.47	0.04152
955.48	0.04139
954.44	0.04126
953.47	0.04113
952.49	0.04097
951.38	0.04081
950.52	0.04068
949.51	0.04056
948.38	0.04039
947.54	0.04027
946.47	0.04012
945.43	0.03998
944.49	0.03983
943.47	0.03972
942.52	0.03958
941.43	0.03941
940.52	0.03927
939.41	0.03913
938.43	0.03901
937.41	0.03885
936.49	0.0387
935.31	0.03854
934.5	0.03841
933.44	0.03826
932.46	0.03813
931.49	0.038
930.37	0.03783
929.46	0.03773
928.46	0.03759
927.49	0.03739
926.32	0.03726
925.47	0.03715
924.39	0.037
923.5	0.03687
922.39	0.03667
921.39	0.03657
920.49	0.03643
919.36	0.03629
918.53	0.03617
917.47	0.03599
916.39	0.03585
915.46	0.03574
914.54	0.03559
913.25	0.03541
912.47	0.03531
911.43	0.03517
910.46	0.03503
909.46	0.03485
908.4	0.03468
907.44	0.03454
906.43	0.03436
905.44	0.03425
904.4	0.03408
903.46	0.03394
902.35	0.03379
901.49	0.03365
900.44	0.03352
899.69	0.03337
898.51	0.0332
897.46	0.03304
896.29	0.03292
895.5	0.0328
894.5	0.03267
893.54	0.03254
892.5	0.03243
891.44	0.03226
890.54	0.03212
889.4	0.03197
888.32	0.03184
887.34	0.03171
886.4	0.03156
885.25	0.03142
884.36	0.03129
883.31	0.03116
882.3	0.03101
881.32	0.03088
880.23	0.03072
879.28	0.03056
878.39	0.03046
877.36	0.03032
876.25	0.03019
875.38	0.03004
874.38	0.02988
873.35	0.02975
872.38	0.02962
871.37	0.02947
870.31	0.02934
869.29	0.02918
868.46	0.02904
867.39	0.02888
866.26	0.02871
865.28	0.0286
864.38	0.02848
863.3	0.02836
862.37	0.02821
861.37	0.02806
860.38	0.02792
859.33	0.02781
858.39	0.02767
857.27	0.02751
856.27	0.02738
855.47	0.02727
854.42	0.02709
853.35	0.02694
852.34	0.0268
851.37	0.02667
850.27	0.02652
849.38	0.0264
848.33	0.02622
847.38	0.02613
846.49	0.02601
845.45	0.02584
844.46	0.02568
